Account,classification,Total PnL,Average PnL,Number of Trades
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.22,3372.14,37
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.34,-163.75,246
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.55,1059.35,1051
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.27,1808.62,153
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.12,512.86,245
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.15,-68.31,62
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.89,74.91,476
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.74,-1.06,1572
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.4,18.08,1662
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.08,-30.29,394
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.88,54.6,306
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.16,448.29,4
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91,39.84,756
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.81,-326.86,306
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.34,-81.01,235
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.01,-92.32,278
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.96,27.42,3939
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.52,19.94,673
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.59,21.66,1440
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.75,12.46,442
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.25,148.25,77
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05,104.36,871
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.19,14.9,267
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.67,120.21,167
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,42292.84,62.38,678
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,-56967.83,-304.64,187
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,30992.18,397.34,78
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-467.06,-2.42,193
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3531.99,-43.6,81
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-1228.91,-39.64,31
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,-76179.49,-72.07,1057
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,14406.38,225.1,64
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,54685.02,108.5,504
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,10591.76,365.23,29
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,10953.25,96.93,113
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,110.55,5.82,19
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,36870.16,485.13,76
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,4256.56,86.87,49
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,4239.82,326.14,13
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,8019.16,8019.16,1
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,9461.08,3153.69,3
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,4019.62,160.78,25
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,99648.28,2847.09,35
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,12082.95,6041.48,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,74293.66,2971.75,25
