Coin,classification,Total PnL,Average PnL,Number of Trades
@1,Extreme Greed,495.67,33.04,15
@1,Greed,1.08,0.36,3
@10,Extreme Fear,-0.06,-0.06,1
@100,Extreme Greed,27.63,13.81,2
@103,Extreme Greed,34.06,11.35,3
@103,Greed,4.49,4.49,1
@107,Extreme Fear,-136085.37,-153.6,886
@107,Extreme Greed,1988618.87,313.61,6341
@107,Fear,-12514.84,-4.22,2969
@107,Greed,724342.31,143.78,5038
@107,Neutral,219551.95,113.64,1932
@109,Extreme Greed,2.73,2.73,1
@109,Greed,5410.85,450.9,12
@109,Neutral,0.51,0.51,1
@112,Extreme Greed,-66.45,-33.22,2
@112,Greed,14.33,14.33,1
@113,Extreme Greed,15.5,15.5,1
@113,Greed,1.43,1.43,1
@114,Greed,1.31,1.31,1
@116,Extreme Greed,0.25,0.25,1
@116,Greed,1.47,1.47,1
@117,Greed,4.63,4.63,1
@124,Extreme Greed,-128.6,-25.72,5
@125,Extreme Greed,474.64,47.46,10
@125,Greed,-104.38,-26.09,4
@13,Extreme Fear,-0.12,-0.12,1
@135,Extreme Greed,-5981.36,-5981.36,1
@138,Fear,31.42,15.71,2
@138,Neutral,19.53,9.77,2
@142,Extreme Fear,1257.88,26.21,48
@142,Fear,461.12,4.04,114
@142,Greed,1115.49,12.82,87
@142,Neutral,4615.87,52.45,88
@147,Greed,-350.63,-70.13,5
@151,Fear,-44.71,-3.73,12
@151,Greed,11628.56,40.24,289
@152,Fear,0.6,0.01,88
@153,Fear,0.58,0.02,28
@153,Greed,34.64,0.47,73
@16,Extreme Fear,-0.06,-0.06,1
@2,Extreme Greed,-0.91,-0.91,1
@20,Neutral,4.74,2.37,2
@24,Extreme Greed,-0.0,-0.0,1
@26,Extreme Fear,-0.26,-0.04,7
@29,Extreme Fear,-0.08,-0.03,3
@3,Neutral,0.46,0.23,2
@31,Extreme Greed,33.21,33.21,1
@33,Extreme Greed,13.57,6.78,2
@35,Extreme Fear,67.03,33.51,2
@36,Extreme Greed,15.66,15.66,1
@37,Extreme Greed,288.68,57.74,5
@37,Greed,10.18,10.18,1
@38,Extreme Fear,33.27,33.27,1
@39,Extreme Fear,12.24,12.24,1
@4,Extreme Fear,-1104.86,-29.08,38
@4,Extreme Greed,231.79,19.32,12
@4,Fear,1630.97,22.97,71
@4,Neutral,-853.87,-6.06,141
@40,Extreme Fear,16.75,16.75,1
@40,Extreme Greed,-4.6,-1.53,3
@41,Extreme Fear,36.74,36.74,1
@47,Extreme Fear,50.31,25.16,2
@49,Extreme Fear,-40.71,-13.57,3
@51,Extreme Greed,-5.32,-5.32,1
@51,Fear,-288.28,-288.28,1
@51,Greed,-37.27,-37.27,1
@53,Extreme Greed,32.54,32.54,1
@53,Greed,35.32,35.32,1
@59,Extreme Greed,804.91,268.3,3
@59,Greed,1752.2,350.44,5
@63,Greed,-20.66,-20.66,1
@74,Extreme Greed,371.63,74.33,5
@8,Extreme Fear,51.56,10.31,5
@8,Extreme Greed,-0.59,-0.29,2
@8,Fear,111.74,22.35,5
@83,Greed,-42.84,-8.57,5
@83,Neutral,-1044.79,-348.26,3
@85,Extreme Greed,18968.24,729.55,26
@85,Greed,7537.9,443.41,17
